sport,game_id,a_team,h_team,last_mod_score,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_odds_ml,h_odds_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-68511218,1549256288782,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-70252570,1549256347430,62,-300,250,1.333333,3.5,-105,-115,1.952381,1.87,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-68373203,1549256426797,59,-190,165,1.526316,2.65,-110,-110,1.909091,1.909091,-4.5,4.5,-110,-110,1.909091,1.909091,209,209,1549324800000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-68321408,1549256478592,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-69964841,1549256635159,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-75334207,1549256665793,60,-420,310,1.238,4.1,-105,-115,1.952381,1.87,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-75309264,1549256690736,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-78896707,1549256703293,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-68018785,1549256781215,59,-190,165,1.526316,2.65,-110,-110,1.909091,1.909091,-4.5,4.5,-110,-110,1.909091,1.909091,209,209,1549324800000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-78735893,1549256864107,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67537994,1549257262006,59,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-69298932,1549257301068,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-69242524,1549257357476,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-74606405,1549257393595,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-74553709,1549257446291,59,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66081202,1549258718798,59,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-110,-110,1.909091,1.909091,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66055193,1549258744807,59,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66040587,1549258759413,59,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67720457,1549258879543,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-76612822,1549258987178,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-65800953,1549258999047,59,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-72082406,1549259917594,59,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-64251678,1549260548322,59,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67564236,1549260835764,38,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-74665643,1549260934357,59,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71065650,1549260934350,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67465647,1549260934353,39,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-65665636,1549260934364,63,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-63865655,1549260934345,60,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-63865639,1549260934361,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-73353712,1549262246288,59,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-61252560,1549263547440,60,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-63022627,1549263577373,63,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71987468,1549263612532,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71960451,1549263639549,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-64578503,1549263821497,39,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60995756,1549263804244,60,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60995330,1549263804670,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
